!
! WMOGRIB2.TBL -- GRIB 1 parameter conversion table version 2
!
!ID# NAME                             UNITS                GNAM         SCALE   MISSING
!
001 Pressure                          Pa                   PRES            -2  -9999.00
002 Pressure reduced to MSL           Pa                   PMSL            -2  -9999.00
003 Pressure tendency                 Pa s**-1             PTND            -2  -9999.00
!004 undefined                         -                                     0  -9999.00
!005 undefined                         -                                     0  -9999.00
!006 Geopotential                      m**2 s**-2           GP               0  -9999.00
007 Geopotential height               gpm                  HGHT             0  -9999.00
!008 Geometrical height                m                    DIST             0  -9999.00
!009 Standard deviation of height      m                    HGHTSD           0  -9999.00
!010 Total ozone                       Dobson units         TOZO             0  -9999.00
!
011 Temperature                       K                    TMPK             0  -9999.00
012 Virtual temperature               K                    TVRK             0  -9999.00
013 Potential temperature             K                    THTA             0  -9999.00
014 Equivalent potential temp         K                    THTE             0  -9999.00
015 Maximum temperature               K                    TMXK             0  -9999.00
016 Minimum temperature               K                    TMNK             0  -9999.00
017 Dew-point temperature             K                    DWPK             0  -9999.00
018 Dew-point depression(or deficit)  K                    DPDK             0  -9999.00
!019 Lapse rate                        K m**-1              LAPS             0  -9999.00
!020 Visibility                        m                    VSBY             0  -9999.00
!
!021 Radar spectra(1)                  -                    RDSP1            0  -9999.00
!022 Radar spectra(2)                  -                    RDSP2            0  -9999.00
!023 Radar spectra(3)                  -                    RDSP3            0  -9999.00
024 Parcel Lifted Index (to 500hPa)   K                    LIFT             0  -9999.00
!025 Temperature anomaly               K                    TMPKA            0  -9999.00
!026 Pressure anomaly                  Pa                   PRESA           -2  -9999.00
!027 Geopotential height anomaly       gpm                  HGHTA            0  -9999.00
028 Wave spectra(1)                   -                    WVSP1            0  -9999.00
029 Wave spectra(2)                   -                    WVSP2            0  -9999.00
030 Wave spectra(3)                   -                    WVSP3            0  -9999.00
!
031 Wind direction                    Degree true          DRCT             0  -9999.00
032 Wind speed                        m s**-1              SPED             0  -9999.00
033 u-component of wind               m s**-1              UREL             0  -9999.00
034 v-component of wind               m s**-1              VREL             0  -9999.00
035 Stream function                   m**2 s**-1           STRM             0  -9999.00
!036 Velocity potential                m**2 s**-1           VPOT             0  -9999.00
037 Montgomery streamfunction         m**2 s**-2           PSYM            -2  -9999.00
!038 Sigma co-ordinate vert vel        s**-1                SGCVV            0  -9999.00
039 Pressure vertical velocity        Pa s**-1             OMEG            -2  -9999.00
!040 Geometric vertical velocity       m s**-1              VVEL             0  -9999.00
!
041 Absolute vorticity                s**-1                AVOR             0  -9999.00
042 Absolute divergence               s**-1                DIV              0  -9999.00
